transaction_id,date,store_id,store_city,category,product_name,units_sold,unit_price,revenue,discount_pct
TXN000023,2026-01-01,S01,Vijayawada,Grocery,Dal (1kg),3,139.87,377.65,10
TXN000024,2026-01-01,S01,Vijayawada,Grocery,Oil (1L),2,594.24,950.78,20
TXN000025,2026-01-01,S01,Vijayawada,Grocery,Dal (1kg),3,426.54,1279.62,0
TXN000026,2026-01-01,S01,Vijayawada,Grocery,Dal (1kg),5,501.99,2258.95,10
TXN000027,2026-01-01,S01,Vijayawada,Grocery,Atta (5kg),1,197.26,187.4,5
TXN000028,2026-01-01,S01,Vijayawada,Grocery,Sugar (1kg),1,532.0,478.8,10
TXN000029,2026-01-01,S01,Vijayawada,Grocery,Dal (1kg),4,410.49,1477.76,10
TXN000030,2026-01-01,S01,Vijayawada,Grocery,Atta (5kg),2,128.58,257.16,0
TXN000031,2026-01-01,S01,Vijayawada,Grocery,Dal (1kg),1,459.74,367.79,20
TXN000032,2026-01-01,S01,Vijayawada,Grocery,Oil (1L),1,460.86,414.77,10
TXN000033,2026-01-01,S01,Vijayawada,Grocery,Sugar (1kg),5,269.67,1280.93,5
TXN000034,2026-01-01,S01,Vijayawada,Grocery,Dal (1kg),5,330.24,1651.2,0
TXN000035,2026-01-01,S01,Vijayawada,Grocery,Rice (5kg),2,523.61,1047.22,0
TXN000036,2026-01-01,S01,Vijayawada,Grocery,Dal (1kg),1,485.64,437.08,10
TXN000037,2026-01-01,S01,Vijayawada,Grocery,Sugar (1kg),2,84.94,152.89,10
TXN000038,2026-01-01,S01,Vijayawada,Grocery,Sugar (1kg),1,597.87,478.3,20
TXN000039,2026-01-01,S01,Vijayawada,Grocery,Oil (1L),4,584.09,2336.36,0
TXN000040,2026-01-01,S01,Vijayawada,Grocery,Rice (5kg),4,424.94,1359.81,20
TXN000041,2026-01-01,S01,Vijayawada,Grocery,Oil (1L),1,472.73,425.46,10
TXN000042,2026-01-01,S01,Vijayawada,Home & Kitchen,Mixer Grinder,2,2489.3,4978.6,0
TXN000043,2026-01-01,S01,Vijayawada,Home & Kitchen,Water Bottle,2,225.31,428.09,5
TXN000044,2026-01-01,S01,Vijayawada,Home & Kitchen,Storage Box,1,6143.31,4914.65,20
TXN000045,2026-01-01,S01,Vijayawada,Home & Kitchen,Mixer Grinder,4,6990.04,26562.15,5
TXN000046,2026-01-01,S01,Vijayawada,Home & Kitchen,Storage Box,4,4949.97,19799.88,0
TXN000047,2026-01-01,S01,Vijayawada,Personal Care,Body Lotion,1,934.01,747.21,20
TXN000048,2026-01-01,S01,Vijayawada,Personal Care,Sunscreen,2,1108.71,1995.68,10
TXN000049,2026-01-01,S01,Vijayawada,Personal Care,Toothpaste,2,101.81,183.26,10
TXN000050,2026-01-01,S01,Vijayawada,Personal Care,Body Lotion,2,348.19,661.56,5
TXN000051,2026-01-01,S01,Vijayawada,Personal Care,Sunscreen,2,1140.58,2281.16,0
TXN000052,2026-01-01,S01,Vijayawada,Personal Care,Toothpaste,3,993.95,2385.48,20
TXN000053,2026-01-01,S01,Vijayawada,Personal Care,Face Wash,4,223.8,760.92,15
TXN000054,2026-01-01,S01,Vijayawada,Personal Care,Sunscreen,2,264.94,423.9,20
TXN000055,2026-01-01,S01,Vijayawada,Personal Care,Sunscreen,2,553.91,1052.43,5
TXN000056,2026-01-01,S01,Vijayawada,Personal Care,Sunscreen,5,925.9,4398.02,5
TXN000057,2026-01-01,S01,Vijayawada,Personal Care,Body Lotion,3,526.87,1422.55,10
TXN000058,2026-01-01,S01,Vijayawada,Personal Care,Toothpaste,1,1087.57,924.43,15
TXN000059,2026-01-01,S02,Vijayawada,Electronics,Smart TV,1,12659.94,12659.94,0
TXN000060,2026-01-01,S02,Vijayawada,Electronics,Mobile Phone,2,2904.47,4647.15,20
TXN000061,2026-01-01,S02,Vijayawada,Apparel,Jeans,2,2183.01,4366.02,0
TXN000062,2026-01-01,S02,Vijayawada,Apparel,Kurta,5,2565.09,12825.45,0
TXN000063,2026-01-01,S02,Vijayawada,Apparel,Jeans,2,515.68,1031.36,0
TXN000064,2026-01-01,S02,Vijayawada,Apparel,Saree,6,526.74,3002.42,5
TXN000065,2026-01-01,S02,Vijayawada,Grocery,Oil (1L),2,417.94,794.09,5
TXN000066,2026-01-01,S02,Vijayawada,Grocery,Sugar (1kg),1,122.77,104.35,15
TXN000067,2026-01-01,S02,Vijayawada,Grocery,Dal (1kg),5,481.54,2166.93,10
TXN000068,2026-01-01,S02,Vijayawada,Grocery,Dal (1kg),1,101.88,91.69,10
TXN000069,2026-01-01,S02,Vijayawada,Grocery,Oil (1L),6,282.97,1443.15,15
TXN000070,2026-01-01,S02,Vijayawada,Grocery,Rice (5kg),2,420.35,840.7,0
TXN000071,2026-01-01,S02,Vijayawada,Grocery,Rice (5kg),4,271.44,977.18,10
TXN000072,2026-01-01,S02,Vijayawada,Grocery,Rice (5kg),3,186.76,532.27,5
TXN000073,2026-01-01,S02,Vijayawada,Grocery,Sugar (1kg),5,296.74,1335.33,10
TXN000074,2026-01-01,S02,Vijayawada,Grocery,Dal (1kg),7,203.2,1351.28,5
TXN000075,2026-01-01,S02,Vijayawada,Grocery,Rice (5kg),4,293.72,939.9,20
TXN000076,2026-01-01,S02,Vijayawada,Grocery,Rice (5kg),1,77.82,62.26,20
TXN000077,2026-01-01,S02,Vijayawada,Grocery,Rice (5kg),1,582.95,553.8,5
TXN000078,2026-01-01,S02,Vijayawada,Grocery,Dal (1kg),2,273.53,465.0,15
TXN000079,2026-01-01,S02,Vijayawada,Grocery,Dal (1kg),1,525.56,525.56,0
TXN000080,2026-01-01,S02,Vijayawada,Grocery,Dal (1kg),1,258.44,232.6,10
TXN000081,2026-01-01,S02,Vijayawada,Grocery,Oil (1L),2,559.58,951.29,15
TXN000082,2026-01-01,S02,Vijayawada,Grocery,Oil (1L),3,282.65,678.36,20
TXN000083,2026-01-01,S02,Vijayawada,Grocery,Atta (5kg),1,135.14,128.38,5
TXN000084,2026-01-01,S02,Vijayawada,Grocery,Dal (1kg),5,582.79,2331.16,20
TXN000085,2026-01-01,S02,Vijayawada,Grocery,Rice (5kg),2,461.39,922.78,0
TXN000086,2026-01-01,S02,Vijayawada,Grocery,Rice (5kg),1,371.3,297.04,20
TXN000087,2026-01-01,S02,Vijayawada,Grocery,Sugar (1kg),1,136.59,109.27,20
TXN000088,2026-01-01,S02,Vijayawada,Grocery,Rice (5kg),4,518.24,2072.96,0
TXN000089,2026-01-01,S02,Vijayawada,Grocery,Sugar (1kg),1,87.38,83.01,5
TXN000090,2026-01-01,S02,Vijayawada,Grocery,Atta (5kg),3,115.94,330.43,5
TXN000091,2026-01-01,S02,Vijayawada,Grocery,Sugar (1kg),5,376.99,1884.95,0
TXN000092,2026-01-01,S02,Vijayawada,Grocery,Atta (5kg),2,411.56,658.5,20
TXN000093,2026-01-01,S02,Vijayawada,Home & Kitchen,Dinner Set,1,7490.71,7116.17,5
TXN000094,2026-01-01,S02,Vijayawada,Home & Kitchen,Dinner Set,1,2061.75,1855.58,10
TXN000095,2026-01-01,S02,Vijayawada,Home & Kitchen,Pressure Cooker,3,5439.18,15501.66,5
TXN000096,2026-01-01,S02,Vijayawada,Home & Kitchen,Water Bottle,1,2666.18,2666.18,0
TXN000097,2026-01-01,S02,Vijayawada,Personal Care,Shampoo,4,593.28,2373.12,0
TXN000098,2026-01-01,S02,Vijayawada,Personal Care,Shampoo,1,682.15,545.72,20
TXN000099,2026-01-01,S02,Vijayawada,Personal Care,Body Lotion,1,228.35,205.51,10
TXN000100,2026-01-01,S02,Vijayawada,Personal Care,Shampoo,4,1064.78,3833.21,10
TXN000101,2026-01-01,S02,Vijayawada,Personal Care,Body Lotion,5,256.68,1026.72,20
TXN000102,2026-01-01,S02,Vijayawada,Personal Care,Body Lotion,1,765.08,612.06,20
TXN000103,2026-01-01,S02,Vijayawada,Personal Care,Shampoo,1,828.01,662.41,20
TXN000104,2026-01-01,S02,Vijayawada,Personal Care,Body Lotion,1,1123.57,1123.57,0
TXN000105,2026-01-01,S02,Vijayawada,Personal Care,Face Wash,1,376.2,376.2,0
TXN000106,2026-01-01,S02,Vijayawada,Personal Care,Sunscreen,2,254.1,482.79,5
TXN000107,2026-01-01,S02,Vijayawada,Personal Care,Sunscreen,2,315.91,568.64,10
TXN000108,2026-01-01,S02,Vijayawada,Personal Care,Face Wash,5,850.0,4037.5,5
TXN000109,2026-01-01,S02,Vijayawada,Personal Care,Sunscreen,4,627.16,2508.64,0
TXN000110,2026-01-01,S02,Vijayawada,Personal Care,Shampoo,4,790.4,3003.52,5
TXN000111,2026-01-01,S02,Vijayawada,Personal Care,Shampoo,3,83.97,251.91,0
TXN000112,2026-01-01,S02,Vijayawada,Personal Care,Body Lotion,5,260.97,1109.12,15
TXN000113,2026-01-01,S03,Guntur,Electronics,Tablet,5,32343.7,129374.8,20
TXN000114,2026-01-01,S03,Guntur,Electronics,Smart TV,5,6810.58,34052.9,0
TXN000115,2026-01-01,S03,Guntur,Apparel,Formal Shirt,1,415.29,373.76,10
TXN000116,2026-01-01,S03,Guntur,Apparel,Formal Shirt,3,2068.08,5583.82,10
TXN000117,2026-01-01,S03,Guntur,Apparel,Jeans,1,433.85,390.47,10
TXN000118,2026-01-01,S03,Guntur,Apparel,Kurta,2,3176.56,6035.46,5
TXN000119,2026-01-01,S03,Guntur,Apparel,Jeans,1,2434.19,2190.77,10
TXN000120,2026-01-01,S03,Guntur,Apparel,Formal Shirt,1,3129.23,2816.31,10
TXN000121,2026-01-01,S03,Guntur,Apparel,Formal Shirt,2,2698.33,5126.83,5
TXN000122,2026-01-01,S03,Guntur,Grocery,Dal (1kg),5,586.91,2934.55,0
TXN000123,2026-01-01,S03,Guntur,Grocery,Atta (5kg),4,63.63,229.07,10
TXN000124,2026-01-01,S03,Guntur,Grocery,Atta (5kg),1,491.23,466.67,5
TXN000125,2026-01-01,S03,Guntur,Grocery,Oil (1L),1,137.56,137.56,0
TXN000126,2026-01-01,S03,Guntur,Grocery,Atta (5kg),1,529.69,450.24,15
TXN000127,2026-01-01,S03,Guntur,Grocery,Dal (1kg),5,159.77,679.02,15
TXN000128,2026-01-01,S03,Guntur,Grocery,Oil (1L),3,217.85,620.87,5
TXN000129,2026-01-01,S03,Guntur,Grocery,Dal (1kg),1,63.02,59.87,5
TXN000130,2026-01-01,S03,Guntur,Grocery,Atta (5kg),3,230.54,691.62,0
TXN000131,2026-01-01,S03,Guntur,Grocery,Oil (1L),5,243.13,972.52,20
TXN000132,2026-01-01,S03,Guntur,Grocery,Atta (5kg),3,423.73,1016.95,20
TXN000133,2026-01-01,S03,Guntur,Grocery,Oil (1L),4,566.58,2266.32,0
TXN000134,2026-01-01,S03,Guntur,Grocery,Oil (1L),1,148.21,140.8,5
TXN000135,2026-01-01,S03,Guntur,Grocery,Rice (5kg),3,109.62,295.97,10
TXN000136,2026-01-01,S03,Guntur,Grocery,Oil (1L),6,450.7,2433.78,10
TXN000137,2026-01-01,S03,Guntur,Grocery,Atta (5kg),5,383.41,1533.64,20
TXN000138,2026-01-01,S03,Guntur,Grocery,Rice (5kg),3,261.86,746.3,5
TXN000139,2026-01-01,S03,Guntur,Grocery,Oil (1L),1,74.41,66.97,10
TXN000140,2026-01-01,S03,Guntur,Grocery,Rice (5kg),3,335.96,806.3,20
TXN000141,2026-01-01,S03,Guntur,Grocery,Dal (1kg),5,250.32,1251.6,0
TXN000142,2026-01-01,S03,Guntur,Grocery,Oil (1L),2,392.74,785.48,0
TXN000143,2026-01-01,S03,Guntur,Grocery,Oil (1L),8,328.92,2368.22,10
TXN000144,2026-01-01,S03,Guntur,Home & Kitchen,Dinner Set,1,3338.72,3171.78,5
TXN000145,2026-01-01,S03,Guntur,Home & Kitchen,Storage Box,4,1192.84,4294.22,10
TXN000146,2026-01-01,S03,Guntur,Home & Kitchen,Water Bottle,1,5483.08,5483.08,0
TXN000147,2026-01-01,S03,Guntur,Home & Kitchen,Storage Box,5,4639.02,20875.59,10
TXN000148,2026-01-01,S03,Guntur,Personal Care,Sunscreen,1,1013.77,963.08,5
TXN000149,2026-01-01,S03,Guntur,Personal Care,Body Lotion,1,315.4,283.86,10
TXN000150,2026-01-01,S03,Guntur,Personal Care,Toothpaste,3,574.8,1638.18,5
TXN000151,2026-01-01,S03,Guntur,Personal Care,Sunscreen,1,609.97,609.97,0
TXN000152,2026-01-01,S03,Guntur,Personal Care,Shampoo,2,397.84,716.11,10
TXN000153,2026-01-01,S03,Guntur,Personal Care,Shampoo,3,996.63,2840.4,5
TXN000154,2026-01-01,S03,Guntur,Personal Care,Body Lotion,5,331.6,1575.1,5
TXN000155,2026-01-01,S03,Guntur,Personal Care,Face Wash,3,107.36,305.98,5
TXN000156,2026-01-01,S03,Guntur,Personal Care,Toothpaste,4,764.63,3058.52,0
TXN000157,2026-01-01,S03,Guntur,Personal Care,Toothpaste,1,544.17,516.96,5
TXN000158,2026-01-01,S03,Guntur,Personal Care,Toothpaste,1,633.7,602.01,5
TXN000159,2026-01-01,S03,Guntur,Personal Care,Face Wash,1,814.78,814.78,0
TXN000160,2026-01-01,S03,Guntur,Personal Care,Shampoo,2,951.83,1808.48,5
TXN000161,2026-01-01,S03,Guntur,Personal Care,Face Wash,3,980.6,2353.44,20
TXN000162,2026-01-01,S03,Guntur,Personal Care,Toothpaste,1,136.24,129.43,5
TXN000163,2026-01-01,S03,Guntur,Personal Care,Shampoo,1,591.24,502.55,15
TXN000164,2026-01-01,S04,Guntur,Electronics,Tablet,1,44479.38,40031.44,10
TXN000165,2026-01-01,S04,Guntur,Electronics,Headphones,1,28344.05,22675.24,20
TXN000166,2026-01-01,S04,Guntur,Apparel,T-Shirt,2,2957.82,4732.51,20
TXN000167,2026-01-01,S04,Guntur,Apparel,T-Shirt,2,3171.07,5390.82,15
TXN000168,2026-01-01,S04,Guntur,Apparel,T-Shirt,2,1129.41,2145.88,5
TXN000169,2026-01-01,S04,Guntur,Apparel,Saree,3,2750.6,6601.44,20
TXN000170,2026-01-01,S04,Guntur,Apparel,T-Shirt,1,2305.59,2190.31,5
TXN000171,2026-01-01,S04,Guntur,Grocery,Atta (5kg),3,92.62,263.97,5
TXN000172,2026-01-01,S04,Guntur,Grocery,Dal (1kg),1,199.44,179.5,10
TXN000173,2026-01-01,S04,Guntur,Grocery,Sugar (1kg),4,94.32,377.28,0
TXN000174,2026-01-01,S04,Guntur,Grocery,Dal (1kg),1,260.67,260.67,0
TXN000175,2026-01-01,S04,Guntur,Grocery,Dal (1kg),2,85.33,153.59,10
TXN000176,2026-01-01,S04,Guntur,Grocery,Oil (1L),1,348.44,313.6,10
TXN000177,2026-01-01,S04,Guntur,Grocery,Rice (5kg),1,163.76,147.38,10
TXN000178,2026-01-01,S04,Guntur,Grocery,Atta (5kg),1,547.66,547.66,0
TXN000179,2026-01-01,S04,Guntur,Grocery,Sugar (1kg),5,259.21,1296.05,0
TXN000180,2026-01-01,S04,Guntur,Grocery,Oil (1L),4,214.24,771.26,10
TXN000181,2026-01-01,S04,Guntur,Grocery,Atta (5kg),2,346.02,553.63,20
TXN000182,2026-01-01,S04,Guntur,Grocery,Sugar (1kg),4,543.8,1848.92,15
TXN000183,2026-01-01,S04,Guntur,Grocery,Dal (1kg),1,200.11,170.09,15
TXN000184,2026-01-01,S04,Guntur,Grocery,Rice (5kg),1,263.87,237.48,10
TXN000185,2026-01-01,S04,Guntur,Grocery,Dal (1kg),1,512.28,512.28,0
TXN000186,2026-01-01,S04,Guntur,Grocery,Sugar (1kg),2,343.77,618.79,10
TXN000187,2026-01-01,S04,Guntur,Grocery,Sugar (1kg),3,360.42,1081.26,0
TXN000188,2026-01-01,S04,Guntur,Grocery,Rice (5kg),4,403.51,1614.04,0
TXN000189,2026-01-01,S04,Guntur,Home & Kitchen,Water Bottle,4,1617.49,6146.46,5
TXN000190,2026-01-01,S04,Guntur,Home & Kitchen,Water Bottle,1,2753.35,2340.35,15
TXN000191,2026-01-01,S04,Guntur,Home & Kitchen,Dinner Set,2,2832.5,5098.5,10
TXN000192,2026-01-01,S04,Guntur,Home & Kitchen,Dinner Set,1,6065.68,5459.11,10
TXN000193,2026-01-01,S04,Guntur,Personal Care,Body Lotion,2,1015.1,1725.67,15
TXN000194,2026-01-01,S04,Guntur,Personal Care,Shampoo,2,918.91,1837.82,0
TXN000195,2026-01-01,S04,Guntur,Personal Care,Body Lotion,1,331.13,331.13,0
TXN000196,2026-01-01,S04,Guntur,Personal Care,Shampoo,1,924.74,878.5,5
TXN000197,2026-01-01,S04,Guntur,Personal Care,Face Wash,3,1019.94,3059.82,0
TXN000198,2026-01-01,S04,Guntur,Personal Care,Face Wash,4,221.37,885.48,0
TXN000199,2026-01-01,S04,Guntur,Personal Care,Sunscreen,4,1141.49,3881.07,15
TXN000200,2026-01-01,S04,Guntur,Personal Care,Body Lotion,3,938.93,2816.79,0
TXN000201,2026-01-01,S05,Rajahmundry,Electronics,Tablet,3,28111.64,84334.92,0
TXN000202,2026-01-01,S05,Rajahmundry,Apparel,Jeans,1,3387.11,3387.11,0
TXN000203,2026-01-01,S05,Rajahmundry,Apparel,Formal Shirt,5,382.17,1815.31,5
TXN000204,2026-01-01,S05,Rajahmundry,Apparel,Formal Shirt,3,2467.51,6662.28,10
TXN000205,2026-01-01,S05,Rajahmundry,Apparel,T-Shirt,3,3312.71,9441.22,5
TXN000206,2026-01-01,S05,Rajahmundry,Apparel,Kurta,5,2194.71,10424.87,5
TXN000207,2026-01-01,S05,Rajahmundry,Grocery,Rice (5kg),1,433.46,411.79,5
TXN000208,2026-01-01,S05,Rajahmundry,Grocery,Sugar (1kg),5,493.04,2465.2,0
TXN000209,2026-01-01,S05,Rajahmundry,Grocery,Oil (1L),1,343.01,308.71,10
TXN000210,2026-01-01,S05,Rajahmundry,Grocery,Rice (5kg),1,328.28,295.45,10
TXN000211,2026-01-01,S05,Rajahmundry,Grocery,Rice (5kg),5,517.27,2198.4,15
TXN000212,2026-01-01,S05,Rajahmundry,Grocery,Rice (5kg),2,288.44,519.19,10
TXN000213,2026-01-01,S05,Rajahmundry,Grocery,Atta (5kg),2,439.02,790.24,10
TXN000214,2026-01-01,S05,Rajahmundry,Grocery,Dal (1kg),5,453.59,2154.55,5
TXN000215,2026-01-01,S05,Rajahmundry,Grocery,Sugar (1kg),1,494.51,395.61,20
TXN000216,2026-01-01,S05,Rajahmundry,Grocery,Atta (5kg),5,305.68,1451.98,5
TXN000217,2026-01-01,S05,Rajahmundry,Grocery,Oil (1L),3,518.44,1555.32,0
TXN000218,2026-01-01,S05,Rajahmundry,Grocery,Oil (1L),6,534.9,3048.93,5
TXN000219,2026-01-01,S05,Rajahmundry,Grocery,Atta (5kg),6,363.42,1962.47,10
TXN000220,2026-01-01,S05,Rajahmundry,Grocery,Oil (1L),3,65.78,177.61,10
TXN000221,2026-01-01,S05,Rajahmundry,Grocery,Dal (1kg),5,318.15,1431.67,10
TXN000222,2026-01-01,S05,Rajahmundry,Grocery,Oil (1L),2,237.19,450.66,5
TXN000223,2026-01-01,S05,Rajahmundry,Home & Kitchen,Storage Box,2,279.18,530.44,5
TXN000224,2026-01-01,S05,Rajahmundry,Home & Kitchen,Mixer Grinder,3,2082.58,5622.97,10
TXN000225,2026-01-01,S05,Rajahmundry,Home & Kitchen,Water Bottle,2,4530.37,8607.7,5
TXN000226,2026-01-01,S05,Rajahmundry,Personal Care,Toothpaste,3,803.41,2048.7,15
TXN000227,2026-01-01,S05,Rajahmundry,Personal Care,Toothpaste,2,968.08,1936.16,0
TXN000228,2026-01-01,S05,Rajahmundry,Personal Care,Body Lotion,3,328.19,935.34,5
TXN000229,2026-01-01,S05,Rajahmundry,Personal Care,Body Lotion,1,823.64,741.28,10
TXN000230,2026-01-01,S05,Rajahmundry,Personal Care,Toothpaste,3,699.89,1889.7,10
TXN000231,2026-01-01,S05,Rajahmundry,Personal Care,Toothpaste,3,1196.23,2870.95,20
TXN000232,2026-01-01,S06,Rajahmundry,Electronics,Mobile Phone,1,17127.85,14558.67,15
TXN000233,2026-01-01,S06,Rajahmundry,Electronics,Mobile Phone,2,15184.79,28851.1,5
TXN000234,2026-01-01,S06,Rajahmundry,Apparel,Kurta,3,2608.11,7041.9,10
TXN000235,2026-01-01,S06,Rajahmundry,Apparel,Kurta,1,2677.22,2677.22,0
TXN000236,2026-01-01,S06,Rajahmundry,Apparel,Jeans,4,992.43,3374.26,15
TXN000237,2026-01-01,S06,Rajahmundry,Apparel,Saree,1,2618.67,2094.94,20
TXN000238,2026-01-01,S06,Rajahmundry,Apparel,Formal Shirt,2,1205.6,2411.2,0
TXN000239,2026-01-01,S06,Rajahmundry,Apparel,Jeans,1,1247.99,1123.19,10
TXN000240,2026-01-01,S06,Rajahmundry,Grocery,Dal (1kg),1,216.25,173.0,20
TXN000241,2026-01-01,S06,Rajahmundry,Grocery,Dal (1kg),1,200.87,200.87,0
TXN000242,2026-01-01,S06,Rajahmundry,Grocery,Sugar (1kg),2,210.68,421.36,0
TXN000243,2026-01-01,S06,Rajahmundry,Grocery,Atta (5kg),2,106.42,212.84,0
TXN000244,2026-01-01,S06,Rajahmundry,Grocery,Sugar (1kg),4,206.39,701.73,15
TXN000245,2026-01-01,S06,Rajahmundry,Grocery,Atta (5kg),2,237.39,474.78,0
TXN000246,2026-01-01,S06,Rajahmundry,Grocery,Oil (1L),1,567.58,482.44,15
TXN000247,2026-01-01,S06,Rajahmundry,Grocery,Rice (5kg),1,502.16,451.94,10
TXN000248,2026-01-01,S06,Rajahmundry,Grocery,Atta (5kg),1,90.75,90.75,0
TXN000249,2026-01-01,S06,Rajahmundry,Grocery,Dal (1kg),2,132.06,250.91,5
TXN000250,2026-01-01,S06,Rajahmundry,Grocery,Rice (5kg),3,596.65,1789.95,0
TXN000251,2026-01-01,S06,Rajahmundry,Grocery,Sugar (1kg),2,470.44,893.84,5
TXN000252,2026-01-01,S06,Rajahmundry,Grocery,Sugar (1kg),3,259.21,660.99,15
TXN000253,2026-01-01,S06,Rajahmundry,Grocery,Oil (1L),3,523.09,1412.34,10
TXN000254,2026-01-01,S06,Rajahmundry,Grocery,Oil (1L),5,362.75,1813.75,0
TXN000255,2026-01-01,S06,Rajahmundry,Grocery,Sugar (1kg),3,578.06,1734.18,0
TXN000256,2026-01-01,S06,Rajahmundry,Grocery,Dal (1kg),3,394.03,1122.99,5
TXN000257,2026-01-01,S06,Rajahmundry,Grocery,Rice (5kg),1,136.38,136.38,0
TXN000258,2026-01-01,S06,Rajahmundry,Grocery,Sugar (1kg),1,91.29,91.29,0
TXN000259,2026-01-01,S06,Rajahmundry,Grocery,Atta (5kg),2,297.78,506.23,15
TXN000260,2026-01-01,S06,Rajahmundry,Grocery,Oil (1L),4,67.95,258.21,5
TXN000261,2026-01-01,S06,Rajahmundry,Grocery,Oil (1L),1,436.64,371.14,15
TXN000262,2026-01-01,S06,Rajahmundry,Grocery,Rice (5kg),3,428.06,1219.97,5
TXN000263,2026-01-01,S06,Rajahmundry,Grocery,Sugar (1kg),2,413.65,785.93,5
TXN000264,2026-01-01,S06,Rajahmundry,Grocery,Atta (5kg),3,113.13,322.42,5
TXN000265,2026-01-01,S06,Rajahmundry,Grocery,Dal (1kg),1,549.63,549.63,0
TXN000266,2026-01-01,S06,Rajahmundry,Grocery,Rice (5kg),2,82.8,157.32,5
TXN000267,2026-01-01,S06,Rajahmundry,Grocery,Sugar (1kg),2,461.93,877.67,5
TXN000268,2026-01-01,S06,Rajahmundry,Grocery,Atta (5kg),2,118.39,224.94,5
TXN000269,2026-01-01,S06,Rajahmundry,Grocery,Atta (5kg),2,568.47,909.55,20
TXN000270,2026-01-01,S06,Rajahmundry,Grocery,Sugar (1kg),4,321.59,1286.36,0
TXN000271,2026-01-01,S06,Rajahmundry,Grocery,Sugar (1kg),2,71.92,129.46,10
TXN000272,2026-01-01,S06,Rajahmundry,Grocery,Oil (1L),3,382.04,1146.12,0
TXN000273,2026-01-01,S06,Rajahmundry,Home & Kitchen,Mixer Grinder,2,1985.61,3971.22,0
TXN000274,2026-01-01,S06,Rajahmundry,Home & Kitchen,Dinner Set,4,4694.73,18778.92,0
TXN000275,2026-01-01,S06,Rajahmundry,Home & Kitchen,Water Bottle,1,4247.92,3610.73,15
TXN000276,2026-01-01,S06,Rajahmundry,Home & Kitchen,Dinner Set,3,1615.62,4362.17,10
TXN000277,2026-01-01,S06,Rajahmundry,Personal Care,Toothpaste,3,1165.34,2971.62,15
TXN000278,2026-01-01,S06,Rajahmundry,Personal Care,Body Lotion,4,537.35,1934.46,10
TXN000279,2026-01-01,S06,Rajahmundry,Personal Care,Shampoo,4,1040.66,3746.38,10
TXN000280,2026-01-01,S06,Rajahmundry,Personal Care,Toothpaste,3,856.91,2442.19,5
TXN000281,2026-01-01,S06,Rajahmundry,Personal Care,Toothpaste,1,991.19,792.95,20
TXN000282,2026-01-01,S06,Rajahmundry,Personal Care,Shampoo,6,589.41,3182.81,10
TXN000283,2026-01-01,S06,Rajahmundry,Personal Care,Body Lotion,3,442.07,1193.59,10
TXN000284,2026-01-01,S06,Rajahmundry,Personal Care,Sunscreen,2,1003.92,2007.84,0
TXN000285,2026-01-01,S06,Rajahmundry,Personal Care,Sunscreen,1,597.41,597.41,0
TXN000286,2026-01-01,S06,Rajahmundry,Personal Care,Face Wash,3,660.65,1684.66,15
TXN000287,2026-01-01,S06,Rajahmundry,Personal Care,Toothpaste,3,931.19,2653.89,5
